Product,Category,Price,Stock,Supplier,id,Expiration Date
Pasta,Grains,1.5,100,Grain Goods Co.,01234567-8901-2345-6789-0abcdefa1b2c3,2026-06-15
Rice,Grains,1.0,200,Grain Goods Co.,12345678-9012-3456-7890-abcdefa1b2c3,2026-06-18
Carrot,Vegetables,0.8,120,Fresh Veggies,23456789-0123-4567-890a-bcdefa1b2c3d,2026-05-24
Broccoli,Vegetables,1.2,80,Fresh Veggies,34567890-1234-5678-90ab-cdefa1b2c3d4,2026-05-27
Yogurt,Dairy,2.0,60,Dairy Farms Inc.,45678901-2345-6789-0abc-defa1b2c3d4e,2026-06-03
Cheddar Cheese,Dairy,4.5,40,Dairy Farms Inc.,56789012-3456-7890-abcd-efa1b2c3d4e5,2026-06-07
Chocolate Cake,Bakery,3.0,30,Baker's Delight,67890123-4567-8901-2345-67890abcdefa1,2026-06-11
Croissant,Bakery,1.5,50,Baker's Delight,78901234-5678-9012-3456-7890abcdefa1,2026-06-14
Apple Juice,Beverages,3.0,100," ""Juice World""", 89012345-6789-0123-4567-890abcdefa1b2, 2026-06-20
bread,Bakery,65,677,Bakers delight,f97f536b-2f97-4af1-bf3c-b3aaa08fffb9,2025-04-15
